REGION,MARKET,DEV_MANAGER,SITEID,SITE_NAME,FOPS_ASSIGNEE,SITE_CLASS,MAGENTABUILT_STATUS,OA_DATE,POWER_METER,BREAKER_SIZE,GEN_PLUG,ACCESS_DETAILS,SITE_SECURITY_ISSUES,PORTABLE_GENERATOR_CAPABLE,PORTABLE_GEN_PLUG,PORTABLE_GEN_CORD_LENGTH,PORTABLE_GEN_ACCESS_NOTES,FACILITY_COMBO,OTHER_COMBO,POWER_COMBO,TELCO_AAV_COMBO,TELCO_GATE_COMBO,SITE_24X7,POWER_24X7,TELCO_24X7,OTHER_24X7,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,SITE_NOTES,SITE_DIRECTIONS,FACILITY_ACCESS_NOTES,FACILITY_NOTIFICATION_REQUIRED,FACILITY_NOTIFICATION_PERIOD,POWER_ACCESS_NOTES,POWER_NOTIFICATION_REQUIRED,POWER_NOTIFICATION_PERIOD,TELCO_DEMARC_LOCATION,TELCO_AAV_NID_LOCATION,TMO_NID_LOCATION,TELCO_ACCESS_NOTES,TELCO_NOTIFICATION_REQUIRED,TELCO_NOTIFICATION_PERIOD,OTHER_ACCESS_NOTES,OTHER_NOTIFICATION_REQUIRED,OTHER_NOTIFICATION_PERIOD,EME_SIGNAGE_VISIT_REQUIRED,EME_AUDIT_LAST_PERFORMED
SOUTH,ATLANTA,Keith Lee,9AT3693A,Maysville,Peter Matrafailo (PMatraf1),Self Support Tower,ON-AIR,2024-08-15,1671537,200.0,1.0,"NexTower
Call 352.283.0001 to check in once on site

Site is next to power plant, take gravel road left to site.",Security Escort Required,Yes,Delta Quick Connect,50.0,No,Call 352.283.0001 to check in and they will provide combo,,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"One Ravinia
Head west on Ravinia Dr.
Go for 292 ft.
Turn left onto Ravinia Pkwy.
Go for 207 ft.
Turn left onto Ashford Dunwoody Rd.
Go for 0.3 mi.
Take left ramp onto I-285 E.
Go for 4.7 mi.
Take exit 33B toward Greenville onto I-85 N.
Go for 16.8 mi.
Keep left onto I-85 Express Ln.
Go for 2.2 mi.
Continue on I-85 N toward Lawrenceville/GA-20/Buford.
Go for 32.5 mi.
Take exit 147 toward GA-98/Commerce/Maysville.
Go for 0.3 mi.
Turn left onto Maysville Rd (GA-98 N) toward Atlanta Dragway.
Go for 3.0 mi.
Turn right toward Twin Mill Dr.
Go for 187 ft.
Turn slightly left onto Twin Mill Dr.
Go for 292 ft.
Turn sharp right onto Twin Mill Dr.
Go for 118 ft.

End at
650 Twin Mill Dr
Maysville, Georgia 30558-2933",,,,,,,,,,,,,,,,No,
CENTRAL,ST. LOUIS,Angela Pitchford,IL04061D,EcoSite Frank Scott Pkwy Shiloh,Daric Reardon (JReardo4),Monopole,ON-AIR,2024-08-15,73083773,200.0,,0951,,Yes,Cam Lock,40.0,No,0951,,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"2250 Frank Scott Pkwy E O Fallon, IL in parking lot of park. 2004 Westport Center Dr, St. Louis, MO 63146 to Shiloh Village School District 85, Shiloh Valley Township, IL, start by getting on I-170 S from Page Ave for 9 minutes (4.3 miles). Then, take I-64 E to N Green Mt Rd in O'Fallon, exiting at exit 16. Merge onto I-170 S for 3.9 miles, then take exit 1A to merge onto I-64 E toward Lewis and Clark Trl. Continue on I-64 E for 24.3 miles, and take exit 16 for Shiloh. Follow N Green Mt Rd and Frank Scott Pkwy E to your destination in Shiloh, where you'll turn left onto Frank Scott Pkwy E and then make two right turns to reach the destination.",,,,,,,,,,,,,,,,No,
CENTRAL,MINNEAPOLIS MN,,A1B0103A,MN State Fair-oDAS BTS 3,Tyler Krell (TKrell),Outdoor BTS,ON-AIR,2024-08-15,,,,,,No,,0.0,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
SOUTH,BIRMINGHAM,Kristi Anderson,9BH7488A,9BH7488A,Bobby Hayes (BHayes3),Guyed Tower,ON-AIR,2024-08-15,SM126518,200.0,1.0,"Landlord: Crown Castle
NOC  800-788-7011
Gate Code 7011

Sand Mountain Electric 256-638-2153
Account# 92072017
Meter# SM126518
PPD - TPE-04134299",Security Escort Required,Yes,Appleton,25.0,No,7011,,,,,Yes,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"From 10 Inverness Center Pkwy #550 Birmingham, AL 35242
Get on I-459 N in Birmingham from US-280 W
Follow I-459 N and I-59 N to AL-211 N/Noccalula Pkwy in Etowah County. Take exit 188 from I-59 N
Take US-11 N, Duck Springs Rd, AL-227 N and AL-75 N to Co Rd 41 in DeKalb County",,,,,,,,,,,,,,,,No,
CENTRAL,CHICAGO,,CH3317BA,SC_HUB_CH12097A,Derrick Giles (DGiles1),Self Support Tower,ON-AIR,2024-08-15,,,,,,No,,0.0,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
SOUTH,HOUSTON TX,,HN1370BA,HN1370BA,Giovanni Garcia (GGarcia),Wood Pole,ON-AIR,2024-08-14,Small Cell- Not Applicable,50.0,0.0,"(JLee278 02-16-2022) - Crown Castle Compound Combo: 7011 | T-Mobile Shelter Lockbox is installed on the shelter wall next to the door. Lockbox combo is 9181. Key is tricky at times. Once you have the key turned at a 45-degree angle to the right, apply more pressure afterward to open the door.
",,No,No Gen Plug Available,0.0,No,7011,Small Cell - Not Applicable,Small Cell - Not Applicable,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"(JLee278 02-16-2022) - From the T-Mobile Switch 4660 N Sam Houston Pkwy E
Houston, TX 77032

Get on I-69/US-59 S from Texas 8 Beltway Frontage Rd and 4th St/Eastex Freeway Service Rd
4 min (2.3 mi)

Head east on N Sam Houston Pkwy E/Texas 8 Beltway Frontage Rd toward Vickery Dr
1.1 mi

Use the right lane to continue on N Sam Houston Pkwy E/Texas 8 Beltway Frontage Rd E
0.1 mi

Slight right onto Texas 8 Beltway Frontage Rd E
0.2 mi

Slight right onto 4th St/Eastex Freeway Service Rd
0.6 mi

Use the left lane to take the I-69 S/US-59 S ramp
0.2 mi

Follow I-69/US-59 S to SW Freeway Service Rd/Southwest Fwy in Houston. Take exit 125 A from I-69
18 min (18.1 mi)

Merge onto I-69/US-59 S
13.0 mi

Take exit 129A on the left toward Mc Gowen Ave/Tuam Ave
328 ft

Continue onto I-69
1.1 mi

Keep left to stay on I-69
3.8 mi

Keep right to continue on Exit 125 A, follow signs for Weslayan Rd and merge onto SW Freeway Service Rd/Southwest Fwy
0.1 mi

Take Edloe St to Joanel St
3 min (0.9 mi)

Merge onto SW Freeway Service Rd/Southwest Fwy
361 ft

Take the ramp onto Edloe St
0.7 mi

Turn left onto Kipling St
276 ft

Turn right at the 1st cross street onto Joanel St
 Destination will be on the left
226 ft
2704 Joanel St
Houston, TX 77027",,,,,,,,,,,,,,,,No,
CENTRAL,DAKOTAS,Jeannette Davis,A1R0248A,VB_BTS_Auto Repair,David Rhoades (DRhoade4),Monopole,ON-AIR,2024-08-14,011426560,200.0,1.0,"VB Gate: 0951
Cabinets: 5596

This is a Vertical Bridge (VB) site, and you need to check in and out with them by calling 877-589-6411 opt 5. VB site reference number is US-ND-5063. They will provide all codes/combos and special instructions to get access. If you have any access issues, contact VB NOC and open a ticket with them and get ticket number or get local contact and then open an MB ticket and provide VB ticket number or local contact. Take pictures of issue and upload when you create MB ticket. Get NTP from VB if needing tower climb. If needed open a Landlord Issue - Consent Denial ticket and have POST or RSD assist with NTP. Compound gate code is XXXX.",,Yes,Cam Lock,30.0,No,0951,,0951,,,Yes,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"From Bismarck Municipal Airport
2301 University Dr, Bismarck, ND 58504

Head southeast on Jetway Ave toward Corporate Cir
 Partial restricted usage road
0.4 mi

Turn right onto ND-1804 N/University Dr

2.0 mi

Turn left onto ND-810/E Bismarck Expy
 Pass by Perkins Restaurant & Bakery (on the right in 0.6 mi)

2.7 mi

Take the exit toward Bismarck/Mandan

0.2 mi

Turn left onto I-94BL W

0.5 mi

Turn left onto 43rd Ave SE
 Destination will be on the right

0.1 mi
1819 43rd Ave SE
Mandan, ND 58554",,1.0,2 weeks,,,,,,,,,,,,,No,
CENTRAL,CHICAGO,Theresa Favis,CH89326A,ATC 371129,Gary Butler (GButler9),Guyed Tower,ON-AIR,2024-08-14,26016330,200.0,1.0,"From Statr Rt72, exit RT123, take that North to Literberry Prentice Rd, go west site will be just past Rt 78",,Yes,Cam Lock,50.0,No,2055,,,,,Yes,Yes,Yes,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"DRIVING DIRECTIONS FROM T-MOBILE OFFICE
AT: 1400 OPUS PLACE DOWNERS GROVE, IL 60515
1. GET ON I-88 W 2 MIN (0.4 MI), HEAD WEST 0.2 MI, TURN RIGHT TO MERGE ONTO I-88 W TOLL ROAD 0.2 MI 2. FOLLOW I-55 S TO WILLIAMS TOWNSHIP. TAKE EXIT 105 FROM I-55 S 2 HR 33 MIN (175 MI) 3. MERGE ONTO I-88 W 0.4 MI, TAKE EXIT 131A TO MERGE ONTO I-355 S TOLL ROAD 7.3 MI 4. KEEP LEFT AT THE FORK TO STAY ON I-355 S, TOLL ROAD 2.0 MI 5. TAKE EXIT 12 A FOR I-55 S/JOLIET ROAD TOWARD ST LOUIS 0.3 MI 6. KEEP LEFT AT THE FORK, FOLLOW SIGNS FOR SOUTH JOLIET ROAD 0.4 MI 7. KEEP LEFT, FOLLOW SIGNS FOR I-55 S/ST LOUIS AND MERGE ONTO I-55 S 112 MI 8. KEEP RIGHT AT THE FORK TO STAY ON I-55 S, FOLLOW SIGNS FOR ST LOUIS/SPRINGFIELD
52.3 MI 9. TAKE EXIT 105 TOWARD SHERMAN 0.6 MI 10.CONTINUE ON I-55BL S/I-55BUS S. TAKE STATE RTE 4/VETERANS PKWY, IL-97 N, IL-125 W AND
LITERBERRY PRENTICE RD TO IL-78 N IN MORGAN COUNTY 49 MIN (39.6 MI) 11.MERGE ONTO I-55BL S/I-55BUS S/S SHERMAN BLVD, CONTINUE TO FOLLOW I-55BL S/I-55BUS
S 4.6 MI 12.CONTINUE STRAIGHT ONTO IL-29 N/STATE RTE 4/VETERANS PKWY CONTINUE TO FOLLOW
STATE RTE 4/VETERANS PKWY 4.2 MI 13.TURN RIGHT ONTO IL-97 N/STATE RTE 125, CONTINUE TO FOLLOW IL-97 N 5.0 MI 14.CONTINUE ONTO IL-125 W, PASS BY SUBWAY (ON THE RIGHT IN 7.6 MI) 11.9 MI TURN LEFT ONTO FREMONT ST 0.1 MI 15.TURN LEFT ONTO N ATHENS ST 0.2 MI, TURN RIGHT ONTO E WASHINGTON ST 0.2 MI 16.CONTINUE STRAIGHT ONTO CO HWY 123 2.8 MI TURN RIGHT ONTO LITERBERRY PRENTICE RD 3.9 MI 17.TURN RIGHT TO STAY ON LITERBERRY PRENTICE RD 6.6 MI 18.TURN RIGHT ONTO IL-78 N
DESTINATION WILL BE ON THE LEFT
TOTAL TRAVEL ESTIMATE: 215 MI, 3HR AND 38 MINUTES",,,,,,,,,,,,,,,,No,
NORTHEAST,PHILADELPHIA PA,,PH6015BA,PH6015BA,Steve Paull (SPaull),Tower Other,ON-AIR,2024-08-14,,200.0,,"Access Notes valid as of 8-1-2022 by JJimene184 
Emergency Access (outages): 24x7 gate combo is 7007 and 1984
Routine Maintenance and upgrades: 24x7 gate combo is 7007 and 1984",,Yes,Appelton_AR40144RS,30.0,No,1984,,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Take PA Turnpike to NJ Turnpike North.  Take exit 7A from the NJ Turnpike, take 195 West to exit 3B (Kuser Rd.)   Take that to 801 Kuser rd (about 3 miles) Fire Company is on the Left.",,,,,,,,,,,,,,,,No,
NORTHEAST,NEW ENGLAND MARKET,,NE2106ZA,TMO_5G_DOT_Sanford_ME,Sean Landry (SLandry2),In Building,ON-AIR,2024-08-14,,,,"TMO retail store.  Access hours: MON-SAT 10am-8pm, SUN 11am-5pm.  Store number 207-569-6467",,,,,,,,,,,No,,No,No,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,11:00-17:00,,,,,,,,,,,,,,,,,,No,
CENTRAL,MINNEAPOLIS MN,Jeff Kurpiel,A1N0071A,Bloomer WI-ATC 419165,Ryan Marten (RMarten),Guyed Tower,ON-AIR,2024-08-14,181444540,200.0,1.0,TMO combos: 5596,,Yes,Cam Lock,50.0,No,5596,,5596,,5596,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Get on I-35E N from Lone Oak Rd
Take I-94 E to County Rd B in Dunn County. Take exit 45 from I-94 E
Follow County Rd B and WI-40 N to 72nd St in Woodmohr",,,,,,,,,,,,,,,,No,
CENTRAL,INDIANAPOLIS IN,Daniel Kalina,MW15630A,US-IN-5181 Owen/Putnam (VB BTS),Joshua Grinstead (JGrinst),Self Support Tower,ON-AIR,2024-08-14,11620793,225.0,,"7/2/24 - New Gate Code: 0712, entering off Query Rd.
VB Gate Code 0951. VB NOC can be contacted at 800-821-5825 Extension 5.",,Yes,Cam Lock,50.0,No,VB Gate Code 0951,,,,,Yes,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Indy Switch: Starting from 6215 Morenci Trail, Indianapolis, IN 46268, head south on Morenci Trail, then turn left onto W 62nd St for 0.9 miles. Turn left onto Moller Rd for 1.0 mile, then turn right onto W 56th St for 1.3 miles. Turn left to merge onto I-465 S for 0.3 miles. Take I-70 W toward St. Louis for 31.9 miles. Take exit 41 for Cloverdale, and continue on US-231 S for 18.6 miles. Turn right onto E Morgan St and continue for 0.9 miles. Turn right onto IN-46 W for 5.6 miles, then turn left onto IN-246 W for 1.5 miles. Turn right onto Query Rd, then left after 0.2 miles to reach your destination in Lafayette Township, Indiana. Site is a self-support tower.",,1.0,2 weeks,,,,,,,,,,,,,No,
NORTHEAST,NEW ENGLAND MARKET,,NE3232BA,NE3232BA_SC_Boston_4BN1156D,Darrell Correia (DCorrei2),Light Pole,ON-AIR,2024-08-14,,,,"***Email notification requested prior to visit*** facilitiesmgr@whittierplace.com. Please CC darrell.correia2@t-mobile.com

<<<<<It is a ICE managed site they must be contacted with any site work whether scheduled or emergency, if they decline work we can then contact one of our dedicated crews.>>>>>

Go to 8 Whittier Place Boston. It is a large plaza / Parking lot. Pull into pay parking lot on right. Building facing you is #8, BTS is on roof of this building. You must have and leave a picture ID with security they will give you a key. If afterhours tech can just go to Bldg-- Security requires ID also
LL asked that any noise be kept to a minimum. 
If work can be scheduled call 617-523-5676 or email; facilitiesmgr@whittierplace.com. Please CC darrell.correia2@t-mobile.com
Darrell Correia
7/19/19",,,,,,,,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Directions to 4BN1156D 6-16-09

A: 15 Commerce Way, Norton, MA 02766-3313
1: Start out going NORTHEAST on COMMERCE WAY toward
S WASHINGTON ST. 0.1 mi
2: Turn RIGHT onto S WASHINGTON ST. 0.2 mi
3: S WASHINGTON ST becomes JOSEPH I. QUINN DR. 0.3 mi
4: Turn LEFT onto INDUSTRIAL PARK RD. 0.3 mi
5: Turn LEFT onto BAY ST. 0.1 mi
6: Merge onto I-495 S toward RAYNHAM/CAPE COD. 5.5 mi
7: Merge onto MA-24 N via EXIT 7A toward BOSTON. 18.5 mi
8: Merge onto I-93 N/US-1 N via EXIT 21A toward BOSTON. 14.6 mi
9: Take EXIT 26 toward STORROW DRIVE. 0.5 mi
10: Take the RT-28 N ramp toward LEVERETT CIR/NORTH
STATION. 0.1 mi
11: Turn LEFT onto NASHUA ST. 0.1 mi
12: Turn LEFT onto MARTHA RD. 0.1 mi
13: Turn RIGHT onto WHITTIER PL. 0.0 mi
14: End at 8 Whittier Pl Boston, MA 02114-1402
",,,,,,,,,,,,,,,,No,2024-08-16 06:56:51
NORTHEAST,PHILADELPHIA PA,,PH4002BA,PH4002BA,William Zuk (WZuk),Utility Pole,ON-AIR,2024-08-14,,,,,,No,,0.0,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
WEST,LA NORTH,Keisha Robinson,SV13562D,Tejon Outlet Mall,CELSO DE JESUS (CDejesu27),Monopine,ON-AIR,2024-08-14,1011348317,200.0,,"Area Tech: Celso De Jesus; 
Site Access: NOT 24/7 ; Site was previously vandalized as the barbed wire around the fence. Gate combo: 3651 at the front, rear gates and PPC. Portable Generator can be deployed; Camlock on site. AAV Transport: AT&T. 
",,Yes,Cam Lock,40.0,No,,,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,,,,,,,,,,,,,,,No,
SOUTH,JACKSONVILLE,CBE/Michelle Perez,9JK2858A,9JK2858A (UsA),Stephen Lucas (SLucas1),Self Support Tower,ON-AIR,2024-08-14,170256297,200.0,,4722,,Yes,Cam Lock,20.0,No,"SBA - 4722  TMO 1225, 8662",,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"From Tallahassee via I10, I-10 W toward Pensacola, Take exit 112 for FL-79 S, Turn left onto FL-79 S/S Waukesha St, Turn right onto Douglas Ferry Rd, Turn right on Don Levens Ln, slightly right at first drive (there is a little sign on the left that says enter), slight left past the red barn on the left, follow that road to the site",,,,,,,,,,,,,,,,No,
SOUTH,TAMPA FL,,TP2621BA,TP2621BA,Philip Napolitano (PNapoli),Flag Pole,ON-AIR,2024-08-14,0,,,No special instructions.,Security Escort Required,No,No Gen Plug Available,0.0,,,,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"From the Switch take 275 South to exit 31B (Ulmerton Rd), go approx 7.5 miles and go left on Starkey Rd. Go about 1 mile and go left on Somerset. Flagpole is approx .2 miles on left.",,,,,,,,,,,,,,,,No,
NORTHEAST,NY (UPSTATE),,UP30679B,tarpon_NY1156_mutton_hill,Brian Wager (BWager),Monopole,ON-AIR,2024-08-14,0300634947,200.0,,"Site is 24hours/7days Access. 
Compound gate lock combo: 7838.
This is Tarpon Towers site NY1156 Mutton Hill. For questions, concerns, or issues contact SPX NOC, 877-371-8977.
Alternate POCs are:
John Armour, 412-576-7671, jarmour@tarpontowers.com
Chief Financial Officer Gail Buteau,  941-757-5010 x108, gbuteau@tarpontowers.com",,Yes,Cam Lock,50.0,No,7838,,7838,7838,7838,Yes,Yes,Yes,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Head south on Monarch Dr toward Commerce Blvd, turn left onto Commerce Blvd, turn right onto 51/Vine St, turn left onto Oswego St, Oswego St turns slightly right and becomes NY-370 E, Use the right lane to take the ramp to I-81 S/Syracuse, keep left to continue on Exit 23B-22, follow signs for Destiny USA Dr, keep left, follow signs for I-81 S/Syracuse and merge onto I-81 S, merge onto I-81 S, use the right 2 lanes to merge onto I-86/NY-17 W toward I-86 W/Corning, continue onto NY-17 W, continue onto NY-17 W, Take exit 66 toward NY-434/NY-17C/Apalachin/Campville,  turn left onto NY-962J S, turn right onto NY-434 W, turn left onto Holmes Rd, keep left to continue on Summit Rd/Summit Hill Rd. 
343 Summit Hill Rd, Apalachin, NY 13732",,,,,,,,,,,,,,,,No,
SOUTH,HOUSTON TX,,HNY5803A,George Bush Intercontinental Airport BTS3,James Taylor (JTaylor288),In-Building BTS,ON-AIR,2024-08-14,Small Cell - Not Applicable,50.0,0.0,"Contact Wireless Services Support Team, 800-644-6618, notify_noc@wirelessservices.com",,No,No Gen Plug Available,0.0,No,Small Cell- Not Applicable,,,,,Yes,Yes,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,Small Cell site drive to information is site specific,,,,,,,,,,,,,,,,No,
SOUTH,DALLAS TX,Tina Lopez,DA03781B,Whitewing Trails,Jayson Martelle (JMartelle),Stealth,ON-AIR,2024-08-14,341-210-413,200.0,1.0,Site is located behind the elementary school,,Yes,Cam Lock,25.0,No,1873,,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"From 7668 Warren Pkwy, Frisco, TX. Turn right onto Parkwood Blvd.Turn left onto State Hwy 121 TX-121 N. Sam Rayburn Tollway. Continue onto TX399 Spur E. Turn right onto Industrial Blvd. Turn left onto Airport Dr. Turn right onto E University Dr. Turn left onto Co Rd 337  Co Rd. 407. Turn right onto Co Rd 407. Turn left onto Monte Carlo Blvd. Turn left onto N. Beauchamp Blvd. Turn left onto Princeton Pkwy. This dead ends into neighborhood under development.",,,,,,,,,,,,,,,,No,
NORTHEAST,NEW ENGLAND MARKET,Heather Castagnaro,4BSS031A,4BSS031A_GH HOLDING MASS AVE LP_Rooftop _Cambridge,Darrell Correia (DCorrei2),Rooftop Structure,ON-AIR,2024-08-14,8503975,200.0,1.0,"7836# - code to enter bldg 03/20/24
Enter 1430 Mass Ave College HOUSE. Take elevator to 3rd floor. Take a left out of elevator and go out exit door then through red door to roof. Site is down on the left.

Gerry Ianetta

Property Manager

C 978.973.4914 | O 617.401.9212

Lincoln Property Company

1430 Mass Ave | Cambridge, MA 02138

gianetta@lpc.com",,No,Crouse_Hinds,0.0,,7836#,,2500 main disconnect,2500,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,128 take Route 2 East.  Follow to 1st Rotary.  Take a left onto Alewife Brook parkway.  At the first light go right onto Mass Ave.  This goes into Harvard Square.  Site is atop 1430 Mass Ave,,,,,,,,Platform,in BTS,,,,,,,Yes,2026-02-18 13:13:00
CENTRAL,CLEVELAND,Lynda Beauregard,CL34083A,ATC 373523,Jason Abbott (JAbbott17),Self Support Tower,ON-AIR,2024-08-14,S338424412,200.0,,"This is an ATC site, and you need to check in and out with them by calling 877-518-6937 Opt. 6, 1. ATC site reference number is 373523. They will provide all codes/combos and special instructions to get access. If you have any access/maintenance issues, contact ATC NOC, and open a ticket with them and get ticket number or get local contact and then open an MB ticket and provide ATC ticket number or local contact. Take pictures of issue and upload when you create MB ticket. Get NTP or schedule from ATC if needing tower climb. If needed open a Landlord Issue - Consent Denial ticket to have RSD assist with NTP. Road gate lock combo: . Compound gate lock combo: . Cabinet door lock combo: 4840.",,Yes,Cam Lock,50.0,No,2055,,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,41.29746 -80.56850 05/29/2025 EO. follow driveway past house and around the bard to the site.,,,,,,,,,,,,,,,,No,
CENTRAL,CHICAGO,,CHY1325A,O'Hare International Airport (ORD),Justin Horodeck (JHorode1),In-Building BTS,ON-AIR,2024-08-13,,200.0,,Need to have O'Hare Badge. Combo on gate is 11-20-37.Updated by: Ferdinand Carlos -8/16/22,,No,No Gen Plug Available,0.0,Yes,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
NORTHEAST,PHILADELPHIA PA,,PH0900BA,PH0900BA,Romulus Connor (RCONNOR),Tower Other,ON-AIR,2024-08-13,,,,"Access Notes valid as of 11/18/2022 by rconnor

Emergency Access (outages): Use John Smyth 215 5181992 jsmyth@rpsdirect.com
 as the contact Desmond is on leave. New contact info for the site. Desmond Reece. 2676487277. dreece@rpsdirect.com.
After hours call Desmond and he will  arrange access for you, he will notify the guard in the building to let you in.


Routine Maintenance and upgrades: 8 -4 Monday to Friday are the  business hours. Contractors:Email Desmond  a copy of your COI before you go to the site or you will not get in. Security guard is on 24x, Access door is two door to the right of 714 Market door.



",,,,,,NONE,,,,,Yes,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Take I-76 towards Central Philadelphia; exit I-676 West; at I-676 West exit, stayright for Independence Hall exit.  At bottom of ramp, turn right onto CallowhilStreet.  Proceed on Callowhill until 8th Street, turn left; take 8th Street South to Market Street.  Park car on 8th ST parking lots.",,,,,,,,,,,,,,,,No,
SOUTH,HOUSTON TX,Ashley Fowler,A3F0561A,A3F0561A,Kyle Prastik (KPrasti),Guyed Tower,ON-AIR,2024-08-13,84453435,200.0,1.0,"********************* 
Lease Access Details 
********************* 
This is ATC site ATC 374769, and you need to check in and out with them by calling 877-518-6937. Please verify all codes/combos and special instructions to get access. If issue, call NOC to verify info or open ticket. Get NTP or schedule from ATC if needing tower climb. 

**********************
Additional Access Details
**********************
(JLee278 - 09/06/2024) - ATC Property and Compound Combo: 2055 | T-Mobile Equipment Combo: 9561
",,Yes,Cam Lock,25.0,No,2055 | 9561,2055 | 9561,2055 | 9561,,2055 | 9561,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"(JLee278 - 09/06/2024) - From the T-Mobile Switch 4660 N Sam Houston Pkwy E
Houston, TX 77032


Get on TX-8 Beltway W from N Sam Houston Pkwy E/Texas 8 Beltway Frontage Rd
4 min (1.9 mi)

Head north toward N Sam Houston Pkwy E/Texas 8 Beltway Frontage Rd
79 ft

Turn right onto N Sam Houston Pkwy E/Texas 8 Beltway Frontage Rd
0.3 mi

Sharp left to stay on N Sam Houston Pkwy E/Texas 8 Beltway Frontage Rd

1.3 mi

Use the left lane to take the Texas 8 Beltway/I-45 ramp

0.2 mi


Continue to Chappell Hill
58 min (64.4 mi)

Merge onto TX-8 Beltway W

5.2 mi

Continue onto Sam Houston Tollway W
 Toll road

11.2 mi

Use the right 2 lanes to merge onto US-290 W toward Austin

48.0 mi


Continue on US-290 to your destination
26 min (24.8 mi)

Continue straight to stay on US-290 W

10.9 mi

Take the US-290 W exit toward Austin

0.2 mi

Continue onto US-290 W

10.2 mi

Turn right onto TX-125 Spur W/E Mulberry St

0.3 mi

Turn right onto N Main St

0.5 mi

Continue onto La Bahia Trail W

443 ft

Turn left onto FM1697

2.4 mi

Turn right

0.2 mi
30.2018738, -96.6329059",,,,,,,,,,,,,,,,No,
CENTRAL,CHICAGO,,CHY1320A,O'Hare International Airport (ORD),Justin Horodeck (JHorode1),In-Building BTS,ON-AIR,2024-08-13,,200.0,,Need to have O'Hare Badge. Combo on gate is 11-20-37.Updated by: Ferdinand Carlos -8/16/22,,No,No Gen Plug Available,0.0,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
